Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DameHeight,YearComissioned,Retrofit,lon,lat,projectID,YearDecommissioning
Bio 135,Bioenergy,OCGT,CHP,DE,0.36,,,,,11.01.1996,,12.01540108,48.88993263,{'JRC': ['00000']},
Bio 136,Bioenergy,OCGT,CHP,DE,0.405,,,,,25.01.1996,,7.810963744,48.01988563,{'JRC': ['00000']},
Bio 137,Bioenergy,OCGT,CHP,DE,0.09,,,,,11.03.1996,,7.152199715,51.53210625,{'JRC': ['00000']},
Bio 138,Bioenergy,OCGT,CHP,DE,0.048,,,,,27.03.1996,,9.093748606,53.23084028,{'JRC': ['00000']},
Bio 139,Bioenergy,OCGT,CHP,DE,0.022,,,,,27.03.1996,,7.952564126,52.72727498,{'JRC': ['00000']},
Bio 140,Bioenergy,OCGT,CHP,DE,0.225,,,,,28.03.1996,,12.10300887,48.65998515,{'JRC': ['00000']},
Bio 141,Bioenergy,OCGT,CHP,DE,0.1,,,,,31.03.1996,,10.25049117,52.67955052,{'JRC': ['00000']},
Bio 142,Bioenergy,OCGT,CHP,DE,0.36,,,,,03.04.1996,,7.184959395,50.33241338,{'JRC': ['00000']},
Bio 143,Bioenergy,OCGT,CHP,DE,0.25,,,,,03.04.1996,,7.184959395,50.33241338,{'JRC': ['00000']},
Bio 144,Bioenergy,OCGT,CHP,DE,0.08,,,,,29.05.1996,,12.45142986,47.75556327,{'JRC': ['00000']},
Bio 145,Bioenergy,OCGT,CHP,DE,0.376,,,,,04.06.1996,,9.10757078,48.49246554,{'JRC': ['00000']},
Bio 146,Bioenergy,OCGT,CHP,DE,0.015,,,,,18.06.1996,,12.016079,47.93459878,{'JRC': ['00000']},
Bio 147,Bioenergy,OCGT,CHP,DE,0.08,,,,,20.06.1996,,7.313638548,50.47454355,{'JRC': ['00000']},
Bio 148,Bioenergy,OCGT,CHP,DE,0.255,,,,,03.07.1996,,11.41192984,52.95725456,{'JRC': ['00000']},
